Id,ProcessName,Path,StartTime
18368,conhost,C:\Windows\system32\conhost.exe,3/14/2026 7:54:31 PM
18428,conhost,C:\Windows\system32\conhost.exe,3/14/2026 7:54:31 PM
20088,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:23:55 PM
21068,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:23:54 PM
22876,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:29:59 PM
26828,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:52:44 PM
29740,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:52:40 PM
29800,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:52:44 PM
29884,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:52:40 PM
30148,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:52:44 PM
30152,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:52:44 PM
30604,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:52:43 PM
30704,conhost,C:\Windows\system32\conhost.exe,3/14/2026 9:52:43 PM
15688,ctfmon,C:\Windows\system32\ctfmon.exe,3/14/2026 7:54:10 PM
4488,dasHost,C:\Windows\system32\dashost.exe,3/14/2026 7:49:18 PM
27176,dllhost,C:\Windows\system32\DllHost.exe,3/14/2026 9:52:37 PM
29156,dllhost,C:\Windows\system32\DllHost.exe,3/14/2026 9:52:39 PM
5768,GoodixSessionService,C:\Windows\System32\drivers\GoodixSessionService.exe,3/14/2026 7:49:19 PM
3840,amdfendrsr,C:\Windows\System32\DriverStore\FileRepository\amdfendr.inf_amd64_1da2893e2ffb6838\amdfendrsr.exe,3/14/2026 7:49:17 PM
5736,IgoAudioService_x64,C:\Windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_ddea067f7a4f87a6\IgoAudioService_x64.exe,3/14/2026 7:49:19 PM
7928,iGoSwServer,C:\Windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_ddea067f7a4f87a6\iGoSwServer.exe,3/14/2026 7:53:58 PM
8000,iGoSwServer,C:\Windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_ddea067f7a4f87a6\iGoSwServer.exe,3/14/2026 7:49:20 PM
8008,RTUWPSrvcMain,C:\Windows\System32\DriverStore\FileRepository\netrtwlanu.inf_amd64_6bcf3fa57a2e080a\RTUWPSrvcMain.exe,3/14/2026 7:49:20 PM
5784,RtkAudUService64,C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_31dd95d009763f70\RtkAudUService64.exe,3/14/2026 7:49:19 PM
17012,RtkAudUService64,C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_31dd95d009763f70\RtkAudUService64.exe,3/14/2026 7:54:26 PM
4236,atieclxx,C:\Windows\System32\DriverStore\FileRepository\u0412269.inf_amd64_a4cc787315a2ff5b\B412205\atieclxx.exe,3/14/2026 7:49:19 PM
3848,atiesrxx,C:\Windows\System32\DriverStore\FileRepository\u0412269.inf_amd64_a4cc787315a2ff5b\B412205\atiesrxx.exe,3/14/2026 7:49:17 PM
5744,DtsApo4Service,C:\Windows\System32\DTS\PC\APO4x\DtsApo4Service.exe,3/14/2026 7:49:19 PM
2168,dwm,C:\Windows\system32\dwm.exe,3/14/2026 7:49:17 PM
2032,fontdrvhost,C:\Windows\system32\fontdrvhost.exe,3/14/2026 7:49:17 PM
2040,fontdrvhost,C:\Windows\system32\fontdrvhost.exe,3/14/2026 7:49:17 PM
4872,NgcIso,C:\Windows\System32\NgcIso.exe,3/14/2026 7:49:19 PM
5988,ssh-agent,C:\Windows\System32\OpenSSH\ssh-agent.exe,3/14/2026 7:49:19 PM
24332,prevhost,C:\Windows\system32\prevhost.exe,3/14/2026 9:47:05 PM
11592,RuntimeBroker,C:\Windows\System32\RuntimeBroker.exe,3/14/2026 7:54:03 PM
14104,RuntimeBroker,C:\Windows\System32\RuntimeBroker.exe,3/14/2026 7:56:40 PM
23388,RuntimeBroker,C:\Windows\System32\RuntimeBroker.exe,3/14/2026 9:32:38 PM
8040,SearchIndexer,C:\Windows\system32\SearchIndexer.exe,3/14/2026 7:51:21 PM
16916,SecurityHealthSystray,C:\Windows\System32\SecurityHealthSystray.exe,3/14/2026 7:54:25 PM
10120,ShellHost,C:\Windows\System32\ShellHost.exe,3/14/2026 9:12:45 PM
3280,sihost,C:\Windows\system32\sihost.exe,3/14/2026 7:53:58 PM
5344,spoolsv,C:\Windows\System32\spoolsv.exe,3/14/2026 7:49:19 PM
1900,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
2024,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
2320,svchost,C:\Windows\System32\svchost.exe,3/14/2026 7:49:17 PM
2360,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
2368,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
2380,svchost,C:\Windows\System32\svchost.exe,3/14/2026 7:49:17 PM
2468,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
2608,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
2728,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
2836,svchost,C:\Windows\System32\svchost.exe,3/14/2026 7:49:17 PM
2864,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
2936,svchost,C:\Windows\System32\svchost.exe,3/14/2026 7:49:19 PM
2948,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
3060,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
3096,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
3132,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
3520,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
3768,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:53:58 PM
3892,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:51:21 PM
3896,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:53:58 PM
3980,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:17 PM
4344,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:19 PM
4396,svchost,C:\Windows\System32\svchost.exe,3/14/2026 7:49:19 PM
4948,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:19 PM
5096,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:19 PM
5280,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:19 PM
5488,svchost,C:\Windows\System32\svchost.exe,3/14/2026 7:49:19 PM
5496,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:53:57 PM
5844,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:19 PM
5856,svchost,C:\Windows\System32\svchost.exe,3/14/2026 7:49:19 PM
5904,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:19 PM
5996,svchost,C:\Windows\system32\svchost.exe,3/14/2026 7:49:19 PM
6344,svchost,C:\Windows\System32\svchost.exe,3/14/2026 7:49:26 PM
7008,svchost,C:\Windows\System32\svchost.exe,3/14/2026 7:49:26 PM
